local_datetime,segment_id,crosswalk,direction,volume
06/03/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/03/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/04/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/04/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/05/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/05/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/06/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/06/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/07/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/07/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/08/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/08/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/09/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/09/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/10/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/10/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/11/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/11/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/12/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/12/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/13/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/13/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/14/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/14/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/15/2025,Washington Street and Calle Tampico,West Crosswalk,nb,0
06/15/2025,Washington Street and Calle Tampico,West Crosswalk,sb,0
06/16/2025,Washington Street and Calle Tampico,West Crosswalk,nb,2
06/16/2025,Washington Street and Calle Tampico,West Crosswalk,sb,0
06/17/2025,Washington Street and Calle Tampico,West Crosswalk,nb,2
06/17/2025,Washington Street and Calle Tampico,West Crosswalk,sb,4
