local_datetime,segment_id,direction,volume
6/27/2025,Washington and Avenue 50,nb,71
6/28/2025,Washington and Avenue 50,nb,85
6/29/2025,Washington and Avenue 50,nb,72
6/30/2025,Washington and Avenue 50,nb,64
6/1/2025,Washington and Sagebrush Avenue,wb,
6/2/2025,Washington and Sagebrush Avenue,wb,
6/3/2025,Washington and Sagebrush Avenue,wb,
6/4/2025,Washington and Sagebrush Avenue,wb,
6/5/2025,Washington and Sagebrush Avenue,wb,
6/6/2025,Washington and Sagebrush Avenue,wb,
6/7/2025,Washington and Sagebrush Avenue,wb,
6/8/2025,Washington and Sagebrush Avenue,wb,
6/9/2025,Washington and Sagebrush Avenue,wb,
6/10/2025,Washington and Sagebrush Avenue,wb,
6/11/2025,Washington and Sagebrush Avenue,wb,
6/12/2025,Washington and Sagebrush Avenue,wb,
6/13/2025,Washington and Sagebrush Avenue,wb,
6/14/2025,Washington and Sagebrush Avenue,wb,
6/15/2025,Washington and Sagebrush Avenue,wb,
6/16/2025,Washington and Sagebrush Avenue,wb,
6/17/2025,Washington and Sagebrush Avenue,wb,0
6/18/2025,Washington and Sagebrush Avenue,wb,0
6/19/2025,Washington and Sagebrush Avenue,wb,1
6/20/2025,Washington and Sagebrush Avenue,wb,4
6/21/2025,Washington and Sagebrush Avenue,wb,2
6/22/2025,Washington and Sagebrush Avenue,wb,2
6/23/2025,Washington and Sagebrush Avenue,wb,2
6/24/2025,Washington and Sagebrush Avenue,wb,5
6/25/2025,Washington and Sagebrush Avenue,wb,6
6/26/2025,Washington and Sagebrush Avenue,wb,4
6/27/2025,Washington and Sagebrush Avenue,wb,4
6/28/2025,Washington and Sagebrush Avenue,wb,7
6/29/2025,Washington and Sagebrush Avenue,wb,5
6/30/2025,Washington and Sagebrush Avenue,wb,8
6/1/2025,Washington and Sagebrush Avenue,sb,
6/2/2025,Washington and Sagebrush Avenue,sb,
6/3/2025,Washington and Sagebrush Avenue,sb,
6/4/2025,Washington and Sagebrush Avenue,sb,
6/5/2025,Washington and Sagebrush Avenue,sb,
6/6/2025,Washington and Sagebrush Avenue,sb,
6/7/2025,Washington and Sagebrush Avenue,sb,
6/8/2025,Washington and Sagebrush Avenue,sb,
6/9/2025,Washington and Sagebrush Avenue,sb,
6/10/2025,Washington and Sagebrush Avenue,sb,
6/11/2025,Washington and Sagebrush Avenue,sb,
6/12/2025,Washington and Sagebrush Avenue,sb,
6/13/2025,Washington and Sagebrush Avenue,sb,
6/14/2025,Washington and Sagebrush Avenue,sb,
6/15/2025,Washington and Sagebrush Avenue,sb,
6/16/2025,Washington and Sagebrush Avenue,sb,
6/17/2025,Washington and Sagebrush Avenue,sb,2
6/18/2025,Washington and Sagebrush Avenue,sb,5
6/19/2025,Washington and Sagebrush Avenue,sb,5
6/20/2025,Washington and Sagebrush Avenue,sb,4
